A,B,C,D,title
约会吃饭送礼物,已经策划了一个浪漫的仪式,一起打游戏,单身狗虐过,我的情人节怎么过？
从未有过，母胎solo,1-3年,4年以上,掐指一算，今年会过个有情人的情人节,距现在我有多久没过过有情人的情人节了？
嫁给我吧/娶我吧,我不想让我的爱人在任何一个关于爱情的节日里羡慕别人,你这一辈子的花呗我来还,一想到能和你共度余生，我就对余生充满期待,我觉得最浪漫的一句话是？
朱一龙,彭于晏,你,胡歌,情人节我最想收到哪位男神的表白？
只要有你的日子都是情人节,2个,3个,没有，只有光棍节,我希望一年有多少个情人节？
期待，希望收获满满的感动和惊喜,不期待，都老夫老妻了过啥情人节,单身狗们出来聊聊，情人节为何物,,我期待过情人节吗？
会,不会,想，还没准备好,,情人节我会求婚吗？
我去买给你,想要什么味道,来，喂你,吃多了会有蛀牙哦！,想吃糖，我希望对象怎么回答？
1-3 级 观察中,4-6 级 深入暧昧,7-8 级 不可自拔,9-10级 此生不渝,我们之间的关系到了几级？
Valentine's Day,Rose Jie,Lover Jie,汪汪汪,我会把情人节翻译成什么样？
电影院,游乐园,商场,浪漫有情调的餐厅,情人节这天我喜欢去什么地方约会？
玫瑰花,郁金香,百合,薰衣草,情人节我会送什么花？
会,不会,一只狗打扮给谁看,,情人节约会我会精心打扮吗
关闭朋友圈,一个人呆在家里,租个对象过节,跟朋友开黑,作为一枚单身狗，情人节我会？
迪丽热巴,你,舒淇,杨幂,情人节我最想和哪位女神约会？
一哄，二抱，三壁咚,拿钱哄,摸摸我的头说：我错了，乖，不生气啦,,生气了，希望恋人怎么哄我？
答应TA，试试看，也许就是一段美好感情的开始呢,委婉的告诉对方要考虑考虑,看表白的对象是谁，实话实话,直接拒绝,情人节如果有人向我表白，我会？
玫瑰和巧克力,万能的红包,我就是你的礼物,一个爱的抱抱,情人节我会送什么礼物？
喜剧片,悲剧片,恐怖片,爱情片,情人节这天我想看一场什么类型的电影？
会，因为不爱了,不会，这么情意绵绵的节日怎能破坏,看情况,伤透了就会，不然留着过年吗,我会在情人节当天提分手吗？
分手,不开心，小心机让重买,憋着，过完节以后翻旧账,只要TA送的我都喜欢,情人节没有收到想要的礼物，我会？
花,狗粮,恋人不在身边,巨型毛绒娃娃,情人节我最讨厌收到的礼物?
写情书表白,面对面表白,微信发红包表白,利用知心玩玩的知心留言功能匿名表白,面对暗恋的对象，我会选择什么方式表白？
会,不会,你猜,只想过二人世界,情人节被求婚我会答应吗？
会啊，及时行乐,为了撑场面也得租一个,不租，我单身我骄傲,只等你租我,情人节，我会租一个对象陪自己过节吗？
汪汪汪,来虐我呀,小心我咬你,我单身我骄傲,情人节，有人笑我是单身狗，我会如何怼回去？
性别男,可盐可甜,妈宝,我心目中的男神,我的男朋友是一个什么样的人？
一场浪漫的约会,520+1314的红包,一个对象,一段深情的告白一束玫瑰一个拥抱一个热吻,情人节我希望能收到什么礼物？
我喜欢你,咱俩都没着落，不如情人节我们一起过吧,情人节快乐！（继续暗恋下去）,以后的情人节我陪你过,情人节，我会对暗恋的人说一句什么？
520,520+1314,银行卡+密码,没钱，等TA发给我,情人节我会给恋人发多少红包？
